Type        | Z0.IAddressable                                                       | Characterizes an address-identified target
Property    | Z0.EncodedIndex.Hosts                                                 | Hosts with at least one archived code block
Type        | Z0.HostCodeIndex                                                      | Collects code derived from members declared by a specific operation host
Property    | Z0.HostCodeIndex.Id                                                   | The owning part
Property    | Z0.HostCodeIndex.Code                                                 | The host-owned code
Property    | Z0.HostCodeIndex.Length                                               | The number of collected functions
Type        | Z0.PartCodeIndex                                                      | Pairs a part with owned code
Property    | Z0.PartCodeIndex.Part                                                 | The owning part
Property    | Z0.PartCodeIndex.Code                                                 | The code in the set
Method      | Z0.Encoded.located(Z0.MemoryAddress,Z0.BinaryCode)                    | Defines a block of encoded data based at a specifed address
Property    | Z0.IIdentifiedCode`2.OpUri                                            | The identifying uri
Type        | Z0.IMemberCode`2                                                      | Characterizes identified code with a known address
Type        | Z0.IReflectedCode`2                                                   | Characterizes identified code with a known address and defining member
Property    | Z0.IReflectedCode`2.Method                                            | The defining member
Type        | Z0.ApiCode                                                            | Identifies a member defined by executable code (derived from the method implementation)
Type        | Z0.BinaryCode                                                         | Encoded x86 bytes extracted from a memory source
Property    | Z0.BinaryCode.Encoded                                                 | The encoded bytes
Property    | Z0.BinaryCode.Data                                                    | The encoded content as byte array
Property    | Z0.BinaryCode.Empty                                                   | The canonical zero
Type        | Z0.CapturedCode                                                       | Defines the dataset accumulated for an operation-targeted capture workflow
Type        | Z0.CaptureOutcome                                                     | Describes the outcome of a native capture operation
Property    | Z0.CaptureOutcome.Id                                                  | The identity of the capture subject
Field       | Z0.CaptureOutcome.State                                               | The final state in the capture process
Field       | Z0.CaptureOutcome.Range                                               | The origin of the captured data
Field       | Z0.CaptureOutcome.TermCode                                            | The capture termination code indicating why the capture process reached end-state
Type        | Z0.ExtractState                                                       | Defines the state of the routine capture workflow at a given step
Property    | Z0.ExtractState.Id                                                    | The operation identifier
Property    | Z0.ExtractState.Address                                               | The memory address from which the state payload was extracted
Field       | Z0.ExtractState.Offset                                                | The zero-based and monotonically-increasing state index
Field       | Z0.ExtractState.Captured                                              | The captured data
Method      | Z0.ExtractState.#ctor(Z0.OpIdentity,System.Int32,System.Int64,System.Byte)| Initializes a capture state
Property    | Z0.ExtractState.Empty                                                 | The empty state
Type        | Z0.IdentifiedCode                                                     | The hex bits found at the end of a uri
Method      | Z0.IdentifiedCode.From(Z0.ParseResult{Z0.OpUri},Z0.BinaryCode)        | Defines uri bits with a potentially bad uri (for diagnostic purposes)
Property    | Z0.IdentifiedCode.Encoded                                             | The encoded operation data
Property    | Z0.IdentifiedCode.Identifier                                          | An identifier populated with parsed operation uri text, when possible; otherwise populated with unparseable uri text
Property    | Z0.IdentifiedCode.OpUri                                               | The operation uri
Property    | Z0.IdentifiedCode.Id                                                  | The identifier of the defined operation
Property    | Z0.IdentifiedCode.Empty                                               | No code, no identity, no life
Type        | Z0.LocatedCode                                                        | Encoded x86 bytes extracted from a memory source with a known (nonzero) location
Property    | Z0.LocatedCode.Address                                                | The head of the memory location from which the data originated
Property    | Z0.LocatedCode.Encoded                                                | The encoded content
Property    | Z0.LocatedCode.Data                                                   | The encoded content as byte array
Type        | Z0.MemberCode                                                         | Defines a uri-identified encoded block with a known base address
Property    | Z0.MemberCode.OpUri                                                   | The source member identity
Property    | Z0.MemberCode.Encoded                                                 | The data, located
Property    | Z0.MemberCode.Data                                                    | The encoded content as byte array
Property    | Z0.MemberCode.Size                                                    | The encoded byte count
Field       | Z0.ParsedExtract.Extracted                                            | The extracted code
Property    | Z0.ParsedExtract.Encoded                                              | The parsed code
Property    | Z0.ParsedExtract.Sequence                                             | The extracted member sequence
Property    | Z0.ParsedExtract.TermCode                                             | The reason for extract completion
Property    | Z0.ParsedExtract.OpUri                                                | The operation uri
Property    | Z0.ParsedExtract.Id                                                   | The operation identifier
